instrument,truth_layer,metric,control_delta_mean,control_delta_r1,control_delta_r2,hub_delta_mean,hub_delta_r1,hub_delta_r2,hub_did_mean,hub_did_r1,hub_did_r2,broker_delta_mean,broker_delta_r1,broker_delta_r2,broker_did_mean,broker_did_r1,broker_did_r2,noise_std,noise_range,hub_did_exceeds_2x_noise,broker_did_exceeds_2x_noise,control_delta_exceeds_2x_noise
micro_tie,observed_interaction,pair_accuracy,-0.038531999999999955,-0.03726499999999999,-0.03979899999999992,-0.03983299999999995,-0.03973299999999991,-0.039932999999999996,-0.0013009999999999966,-0.0024679999999999147,-0.0001340000000000785,-0.030929999999999958,-0.03253299999999992,-0.029326999999999992,0.007601999999999998,0.0047320000000000695,0.010471999999999926,0.0023929305673169505,0.005464999999999942,0,1,1
micro_tie,observed_interaction_recent,pair_accuracy,-0.05620349999999996,-0.05420499999999995,-0.058201999999999976,-0.05230099999999996,-0.04639999999999994,-0.058201999999999976,0.003902500000000003,0.007805000000000006,0.0,-0.04473299999999994,-0.04893299999999995,-0.04053299999999993,0.011470500000000022,0.005271999999999999,0.017669000000000046,0.0025201342622963277,0.005666999999999978,0,1,1
micro_tie,observed_interaction_cumulative_betweenness_rank,pair_accuracy,,,,,,,,,,,,,,,,,,,,
micro_tie,observed_interaction_recent_betweenness_rank,pair_accuracy,,,,,,,,,,,,,,,,,,,,
micro_tie,observed_interaction_louvain_communities,pair_accuracy,,,,,,,,,,,,,,,,,,,,
micro_tie,observed_interaction_recent_louvain_communities,pair_accuracy,,,,,,,,,,,,,,,,,,,,
micro_tie_fpr,observed_interaction,fpr,0.07074349999999996,0.06262599999999996,0.07886099999999996,0.07415500000000003,0.07275600000000004,0.07555400000000001,0.0034115000000000673,0.010130000000000083,-0.003306999999999949,0.06445650000000003,0.06941900000000001,0.05949400000000005,-0.0062869999999999315,0.006793000000000049,-0.019366999999999912,0.002573782003200708,0.006010999999999933,0,1,1
micro_tie_fpr,observed_interaction_recent,fpr,0.07895799999999997,0.07095099999999999,0.08696499999999996,0.07833999999999997,0.07376099999999997,0.08291899999999996,-0.0006180000000000074,0.002809999999999979,-0.004045999999999994,0.07079600000000003,0.076789,0.06480300000000006,-0.008161999999999947,0.00583800000000001,-0.022161999999999904,0.0027494893707741387,0.006537999999999988,0,1,1
micro_tie_fpr,observed_interaction_cumulative_betweenness_rank,fpr,,,,,,,,,,,,,,,,,,,,
micro_tie_fpr,observed_interaction_recent_betweenness_rank,fpr,,,,,,,,,,,,,,,,,,,,
micro_tie_fpr,observed_interaction_louvain_communities,fpr,,,,,,,,,,,,,,,,,,,,
micro_tie_fpr,observed_interaction_recent_louvain_communities,fpr,,,,,,,,,,,,,,,,,,,,
micro_tie_fnr,observed_interaction,fnr,-0.07240599999999997,-0.06243499999999996,-0.08237699999999998,-0.077314,-0.071847,-0.082781,-0.0049080000000000235,-0.009412000000000031,-0.00040400000000001546,-0.08585999999999996,-0.09115799999999996,-0.08056199999999997,-0.013453999999999994,-0.028723,0.001815000000000011,0.007787616888368357,0.021376000000000006,0,0,1
micro_tie_fnr,observed_interaction_recent,fnr,-0.05695899999999998,-0.042815999999999965,-0.071102,-0.08572049999999998,-0.09317999999999999,-0.07826099999999997,-0.028761499999999995,-0.05036400000000002,-0.007158999999999971,-0.09771849999999996,-0.09523499999999996,-0.10020199999999996,-0.040759499999999976,-0.05241899999999999,-0.02909999999999996,0.007791421898472712,0.019525000000000015,1,1,1
micro_tie_fnr,observed_interaction_cumulative_betweenness_rank,fnr,,,,,,,,,,,,,,,,,,,,
micro_tie_fnr,observed_interaction_recent_betweenness_rank,fnr,,,,,,,,,,,,,,,,,,,,
micro_tie_fnr,observed_interaction_louvain_communities,fnr,,,,,,,,,,,,,,,,,,,,
micro_tie_fnr,observed_interaction_recent_louvain_communities,fnr,,,,,,,,,,,,,,,,,,,,
bridge_rank,observed_interaction,bridge_mean_abs_rank_error,,,,,,,,,,,,,,,,,,,,
bridge_rank,observed_interaction_recent,bridge_mean_abs_rank_error,,,,,,,,,,,,,,,,,,,,
bridge_rank,observed_interaction_cumulative_betweenness_rank,bridge_mean_abs_rank_error,0.7807999999999997,1.2511999999999999,0.31039999999999957,0.7744,0.7584,0.7904,-0.006399999999999739,-0.4927999999999999,0.4800000000000004,0.7839999999999998,0.9119999999999999,0.6559999999999997,0.0032000000000000917,-0.33919999999999995,0.34560000000000013,0.07094335768766517,0.17600000000000016,0,0,1
bridge_rank,observed_interaction_recent_betweenness_rank,bridge_mean_abs_rank_error,0.7119999999999997,0.8544,0.5695999999999994,1.0223999999999998,1.0271999999999997,1.0175999999999998,0.3104,0.17279999999999962,0.4480000000000004,0.7407999999999997,0.9247999999999994,0.5568,0.028799999999999937,0.07039999999999935,-0.012799999999999478,0.08831652167063651,0.2400000000000002,1,0,1
bridge_rank,observed_interaction_louvain_communities,bridge_mean_abs_rank_error,,,,,,,,,,,,,,,,,,,,
bridge_rank,observed_interaction_recent_louvain_communities,bridge_mean_abs_rank_error,,,,,,,,,,,,,,,,,,,,
bridge_top1,observed_interaction,bridge_top1_hit,,,,,,,,,,,,,,,,,,,,
bridge_top1,observed_interaction_recent,bridge_top1_hit,,,,,,,,,,,,,,,,,,,,
bridge_top1,observed_interaction_cumulative_betweenness_rank,bridge_top1_hit,0.0,0.0,0.0,0.02,0.0,0.04,0.02,0.0,0.04,0.06,0.07999999999999999,0.04,0.06,0.07999999999999999,0.04,0.0,0.0,,,
bridge_top1,observed_interaction_recent_betweenness_rank,bridge_top1_hit,0.0,0.0,0.0,-0.02,0.0,-0.04,-0.02,0.0,-0.04,0.06,0.07999999999999999,0.04,0.06,0.07999999999999999,0.04,0.0,0.0,,,
bridge_top1,observed_interaction_louvain_communities,bridge_top1_hit,,,,,,,,,,,,,,,,,,,,
bridge_top1,observed_interaction_recent_louvain_communities,bridge_top1_hit,,,,,,,,,,,,,,,,,,,,
community_nmi,observed_interaction,nmi,,,,,,,,,,,,,,,,,,,,
community_nmi,observed_interaction_recent,nmi,,,,,,,,,,,,,,,,,,,,
community_nmi,observed_interaction_cumulative_betweenness_rank,nmi,,,,,,,,,,,,,,,,,,,,
community_nmi,observed_interaction_recent_betweenness_rank,nmi,,,,,,,,,,,,,,,,,,,,
community_nmi,observed_interaction_louvain_communities,nmi,0.05487049999999999,0.09229799999999999,0.017442999999999986,-0.010101000000000027,0.009762999999999966,-0.02996500000000002,-0.06497150000000002,-0.08253500000000003,-0.047408000000000006,0.007198999999999983,0.023849999999999982,-0.009452000000000016,-0.047671500000000006,-0.06844800000000001,-0.026895000000000002,0.01073751155063407,0.030063000000000006,1,1,1
community_nmi,observed_interaction_recent_louvain_communities,nmi,0.07136949999999997,0.10358799999999996,0.03915099999999999,0.005248999999999976,-0.00960500000000003,0.020102999999999982,-0.0661205,-0.11319299999999999,-0.01904800000000001,0.021107999999999988,0.019691999999999987,0.02252399999999999,-0.05026149999999999,-0.08389599999999997,-0.016627000000000003,0.013901225999889364,0.03606100000000001,1,1,1
shocked_agent_rank_hub,John Lin,mean_perceived_bridge_rank,0.2400000000000002,-0.16000000000000014,0.6400000000000006,1.4400000000000004,1.6799999999999997,1.200000000000001,1.2000000000000002,1.8399999999999999,0.5600000000000005,,,,,,,0.5844655678480984,1.2800000000000011,1,,0
shocked_agent_rank_broker,Eddy Lin,mean_perceived_bridge_rank,1.2200000000000006,1.3200000000000003,1.120000000000001,,,,,,,0.9000000000000012,0.6800000000000015,1.120000000000001,-0.3199999999999994,-0.6399999999999988,0.0,0.36704223190254315,0.9600000000000009,,0,1
