instrument,truth_layer,metric,pre_value,noise_n,noise_mean,noise_std,noise_min,noise_max,noise_range
micro_tie,observed_interaction,pair_accuracy,0.541333,5,0.5082552,0.0023929305673169505,0.505468,0.510933,0.005464999999999942
micro_tie,observed_interaction_recent,pair_accuracy,0.541333,5,0.5063618,0.0025201342622963277,0.503201,0.508868,0.005666999999999978
micro_tie,observed_interaction_cumulative_betweenness_rank,pair_accuracy,,0,,,,,
micro_tie,observed_interaction_recent_betweenness_rank,pair_accuracy,,0,,,,,
micro_tie,observed_interaction_louvain_communities,pair_accuracy,,0,,,,,
micro_tie,observed_interaction_recent_louvain_communities,pair_accuracy,,0,,,,,
micro_tie_fpr,observed_interaction,fpr,0.449291,5,0.5016956,0.002573782003200708,0.498682,0.504693,0.006010999999999933
micro_tie_fpr,observed_interaction_recent,fpr,0.449291,5,0.5027404,0.0027494893707741387,0.499291,0.505829,0.006537999999999988
micro_tie_fpr,observed_interaction_cumulative_betweenness_rank,fpr,,0,,,,,
micro_tie_fpr,observed_interaction_recent_betweenness_rank,fpr,,0,,,,,
micro_tie_fpr,observed_interaction_louvain_communities,fpr,,0,,,,,
micro_tie_fpr,observed_interaction_recent_louvain_communities,fpr,,0,,,,,
micro_tie_fnr,observed_interaction,fnr,0.510435,5,0.4493276,0.007787616888368357,0.438596,0.459972,0.021376000000000006
micro_tie_fnr,observed_interaction_recent,fnr,0.510435,5,0.4433832,0.007791421898472712,0.433913,0.453438,0.019525000000000015
micro_tie_fnr,observed_interaction_cumulative_betweenness_rank,fnr,,0,,,,,
micro_tie_fnr,observed_interaction_recent_betweenness_rank,fnr,,0,,,,,
micro_tie_fnr,observed_interaction_louvain_communities,fnr,,0,,,,,
micro_tie_fnr,observed_interaction_recent_louvain_communities,fnr,,0,,,,,
bridge_rank,observed_interaction,bridge_mean_abs_rank_error,,0,,,,,
bridge_rank,observed_interaction_recent,bridge_mean_abs_rank_error,,0,,,,,
bridge_rank,observed_interaction_cumulative_betweenness_rank,bridge_mean_abs_rank_error,6.6016,5,7.0944,0.07094335768766517,7.0304,7.2064,0.17600000000000016
bridge_rank,observed_interaction_recent_betweenness_rank,bridge_mean_abs_rank_error,6.6016,5,7.04256,0.08831652167063651,6.928,7.168,0.2400000000000002
bridge_rank,observed_interaction_louvain_communities,bridge_mean_abs_rank_error,,0,,,,,
bridge_rank,observed_interaction_recent_louvain_communities,bridge_mean_abs_rank_error,,0,,,,,
bridge_top1,observed_interaction,bridge_top1_hit,,0,,,,,
bridge_top1,observed_interaction_recent,bridge_top1_hit,,0,,,,,
bridge_top1,observed_interaction_cumulative_betweenness_rank,bridge_top1_hit,0.04,5,0.04,0.0,0.04,0.04,0.0
bridge_top1,observed_interaction_recent_betweenness_rank,bridge_top1_hit,0.04,5,0.08,0.0,0.08,0.08,0.0
bridge_top1,observed_interaction_louvain_communities,bridge_top1_hit,,0,,,,,
bridge_top1,observed_interaction_recent_louvain_communities,bridge_top1_hit,,0,,,,,
community_nmi,observed_interaction,nmi,,0,,,,,
community_nmi,observed_interaction_recent,nmi,,0,,,,,
community_nmi,observed_interaction_cumulative_betweenness_rank,nmi,,0,,,,,
community_nmi,observed_interaction_recent_betweenness_rank,nmi,,0,,,,,
community_nmi,observed_interaction_louvain_communities,nmi,0.255877,5,0.31609740000000003,0.01073751155063407,0.299566,0.329629,0.030063000000000006
community_nmi,observed_interaction_recent_louvain_communities,nmi,0.255877,5,0.3201524,0.013901225999889364,0.302609,0.33867,0.03606100000000001
shocked_agent_rank_hub,John Lin,mean_perceived_bridge_rank,10.52,5,10.04,0.5844655678480984,9.36,10.64,1.2800000000000011
shocked_agent_rank_broker,Eddy Lin,mean_perceived_bridge_rank,11.12,5,11.688,0.36704223190254315,11.12,12.08,0.9600000000000009
