fork,treatment,replicate,instrument,truth_layer,metric,pre,post,delta
ncn_id_control_r1,control,1,micro_tie,observed_interaction,pair_accuracy,0.541333,0.504068,-0.03726499999999999
ncn_id_control_r2,control,2,micro_tie,observed_interaction,pair_accuracy,0.541333,0.501534,-0.03979899999999992
ncn_id_hub_r1,hub,1,micro_tie,observed_interaction,pair_accuracy,0.541333,0.5016,-0.03973299999999991
ncn_id_hub_r2,hub,2,micro_tie,observed_interaction,pair_accuracy,0.541333,0.5014,-0.039932999999999996
ncn_id_broker_r1,broker,1,micro_tie,observed_interaction,pair_accuracy,0.541333,0.5088,-0.03253299999999992
ncn_id_broker_r2,broker,2,micro_tie,observed_interaction,pair_accuracy,0.541333,0.512006,-0.029326999999999992
ncn_id_control_r1,control,1,micro_tie,observed_interaction_recent,pair_accuracy,0.541333,0.487128,-0.05420499999999995
ncn_id_control_r2,control,2,micro_tie,observed_interaction_recent,pair_accuracy,0.541333,0.483131,-0.058201999999999976
ncn_id_hub_r1,hub,1,micro_tie,observed_interaction_recent,pair_accuracy,0.541333,0.494933,-0.04639999999999994
ncn_id_hub_r2,hub,2,micro_tie,observed_interaction_recent,pair_accuracy,0.541333,0.483131,-0.058201999999999976
ncn_id_broker_r1,broker,1,micro_tie,observed_interaction_recent,pair_accuracy,0.541333,0.4924,-0.04893299999999995
ncn_id_broker_r2,broker,2,micro_tie,observed_interaction_recent,pair_accuracy,0.541333,0.5008,-0.04053299999999993
ncn_id_control_r1,control,1,micro_tie,observed_interaction_cumulative_betweenness_rank,pair_accuracy,,,
ncn_id_control_r2,control,2,micro_tie,observed_interaction_cumulative_betweenness_rank,pair_accuracy,,,
ncn_id_hub_r1,hub,1,micro_tie,observed_interaction_cumulative_betweenness_rank,pair_accuracy,,,
ncn_id_hub_r2,hub,2,micro_tie,observed_interaction_cumulative_betweenness_rank,pair_accuracy,,,
ncn_id_broker_r1,broker,1,micro_tie,observed_interaction_cumulative_betweenness_rank,pair_accuracy,,,
ncn_id_broker_r2,broker,2,micro_tie,observed_interaction_cumulative_betweenness_rank,pair_accuracy,,,
ncn_id_control_r1,control,1,micro_tie,observed_interaction_recent_betweenness_rank,pair_accuracy,,,
ncn_id_control_r2,control,2,micro_tie,observed_interaction_recent_betweenness_rank,pair_accuracy,,,
ncn_id_hub_r1,hub,1,micro_tie,observed_interaction_recent_betweenness_rank,pair_accuracy,,,
ncn_id_hub_r2,hub,2,micro_tie,observed_interaction_recent_betweenness_rank,pair_accuracy,,,
ncn_id_broker_r1,broker,1,micro_tie,observed_interaction_recent_betweenness_rank,pair_accuracy,,,
