persona,latest_chats_step,n_daily_req,n_schedule_slots,n_normal_slots,n_zero_duration_sleep_slots,n_prompt_leak_slots,last_legit_slot_index,chats_initiated_cumulative,act_event_at_save,chatting_at_save
Abigail Chen,4200,8,25,7,10,8,6,0,sleep,0
Arthur Burton,4200,8,43,18,18,6,18,1,sleep,0
Ayesha Khan,4200,7,33,13,15,4,13,1,sleep,0
Carlos Gomez,4200,1,58,31,27,0,30,0,sleep,0
Francisco Lopez,4200,8,19,8,6,3,9,2,sleep,0
Giorgio Rossi,4200,8,25,13,11,0,13,1,sleep,0
Hailey Johnson,4200,8,28,11,13,4,10,0,sleep,0
Isabella Rodriguez,4200,7,30,16,12,1,17,1,sleep,0
Klaus Mueller,4200,8,10,6,4,0,5,0,sleep,0
Latoya Williams,4200,7,4,2,2,0,1,0,sleep,0
Maria Lopez,4200,8,37,10,16,10,10,1,sleep,0
Mei Lin,4200,8,10,5,3,2,5,0,sleep,0
Rajiv Patel,4200,1,31,16,14,0,16,1,sleep,0
Ryan Park,4200,8,29,11,14,4,10,0,sleep,0
Wolfgang Schulz,4200,8,12,10,2,0,9,0,sleep,0
